"cod_atleta","nome_atleta","cod_pais","cod_desporto","aniversario_atleta","genero_atleta"
"1","AAJIM Munkhbat","MGL","JUD","1989-01-25","Male"
"2","ABARZA Alberto","CHI","SWM","1984-12-11","Male"
"3","ABASLI Namig","AZE","JUD","1997-09-12","Male"
"4","ABASSI Mostefa","ALG","WBK","1977-09-25","Male"
"5","ABBAD Abderraouf","ALG","WBK","1986-10-27","Male"
"6","ABDALLA Ashraf","EGY","VBS","1974-02-24","Male"
"7","ABOUELYAZEID Mohamed","EGY","VBS","1979-03-29","Male"
"8","ABDELALI Samiha","ALG","WBK","1988-04-25","Female"
"9","ABDELAZIZ Gihan","EGY","PWL","1974-10-29","Female"
"10","ELKHARSA Ahmed","EGY","VBS","1997-09-27","Male"
"11","ABDELHADY Hany","EGY","PWL","1980-05-19","Male"
"12","ABDELLAOUI Cherine","ALG","JUD","1998-08-28","Female"
"13","ABDELLATIF Abdelnaby","EGY","VBS","1972-06-18","Male"
"14","ABDELLI Rima","TUN","ATH","1988-02-24","Female"
"15","ABDELMAJID Taha","EGY","PWL","1987-06-08","Male"
"16","ABDELSHAFI Malak","EGY","SWM","2003-03-11","Female"
"17","ABDI Hassan","IRI","WBK","1985-11-22","Male"
"18","ABDULKHABIBOV Azizbek","UZB","CSP","1993-12-16","Male"
"19","ABDULLAKHANLI Kanan","AZE","JUD","1987-07-02","Male"
"20","ABDULRAHEEM Kovan","IRQ","ATH","1988-03-01","Male"
"21","ABDYKHALYKOVA Gulbanu","KAZ","PWL","1972-09-15","Female"
"22","ABE Chisato","JPN","WFE","1978-10-25","Female"
"23","ABIDAR Mohamed","LBA","TKW","1990-04-21","Male"
"24","ABIDOGUN Ola","GBR","ATH","1993-08-03","Male"
"25","ABILKHASSYMKYZY Saltanat","KAZ","ATH","2000-01-14","Female"
"26","ABLINGER Walter","AUT","CRD","1969-05-12","Male"
"27","ABOHEGAZY Salma","EGY","TKW","2003-04-10","Female"
"28","ABOUELKHIR Metawa","EGY","VBS","1976-10-20","Male"
"29","ABRAHAM de DEUS Michel Gustavo","BRA","ATH","1997-11-03","Male"
"30","ABRAHAM GEBRU Daniel","NED","CRD","1985-02-11","Male"
"31","ABRAHAM GEBRU Daniel","NED","CTR","1985-02-11","Male"
"32","ABRAHAMS David Henry","USA","SWM","2001-05-03","Male"
"33","ABSHIR OMAR Mahdi","SOM","ATH","1989-05-04","Male"
"34","ABU AWAD Khetam","JOR","TTE","1974-10-08","Female"
"35","ABUD CORONADO Jose Manuel","DOM","PWL","1974-10-26","Male"
"36","ABUZARLI Abulfaz","AZE","TKW","1991-08-04","Male"
"37","ACAR Deniz","TUR","WBK","1976-01-09","Male"
"38","ACCARDI Federico","ARG","FB5","1989-06-26","Male"
"39","ACEITUNO Herbert","ESA","PWL","1985-11-01","Male"
"40","ACEVES PEREZ Haidee Viviana","MEX","SWM","1993-03-23","Female"
"41","ACHENZA Giovanni","ITA","TRI","1971-07-31","Male"
"42","ACOSTA MANJARRES Yamil David","COL","ATH","1997-10-17","Male"
"43","ACOSTA RODRIGUEZ Adolfo","ESP","FB5","1981-05-19","Male"
"44","ACOSTA SOTO Omar Jose","COL","ATH","2000-05-18","Male"
"45","ADALSTEINSDOTTIR Bergrun Osk","ISL","ATH","2000-09-18","Female"
"46","ADAMI Zsanett","HUN","SWM","1994-12-20","Female"
"47","ADAMS Lisa","NZL","ATH","1990-11-18","Female"
"48","ADDESI Pierpaolo","ITA","CRD","1976-06-29","Male"
"49","ADDISON Tamsin","IRL","EQU","1973-02-05","Female"
"50","ADENEGAN Kare","GBR","ATH","2000-12-29","Female"
"51","ADESOKAN Yakubu","NGR","PWL","1979-07-16","Male"
"52","ADLER Anja","GER","CSP","1989-04-14","Female"
"53","ADOLPHE Timothee","FRA","ATH","1989-12-29","Male"
"54","ADONINA Daria","RPC","BOC","2002-11-13","Female"
"55","ADZHAMETOVA Leilia","UKR","ATH","1994-03-09","Female"
"56","AERE Katia","ITA","CRD","1971-08-28","Female"
"57","AFRI Mahdi","MAR","ATH","1996-01-01","Male"
"58","AFROOZ Saeid","IRI","ATH","1990-12-13","Male"
"59","AGALAKOV Roman","KAZ","SWM","1995-01-09","Male"
"60","AGBLEMAGNON Gloria","FRA","ATH","1997-12-10","Female"
"61","AGRIPINO dos SANTOS Julio Cesar","BRA","ATH","1991-01-17","Male"
"62","AGUILAR CARMONA Vicente","ESP","FB5","1970-04-10","Male"
"63","AGUILERA CRUZ Ulicer","CUB","ATH","1989-09-29","Male"
"64","AGUNBIADE Tajudeen","NGR","TTE","1975-05-25","Male"
"65","AHLQUIST Anna Carin","SWE","TTE","1972-06-05","Female"
"66","AHMAD TARMIZI Zuhairi","MAS","CRD","1990-07-26","Male"
"67","AHMADI Amirreza","IRI","WBK","2000-10-16","Male"
"68","AHMED Aya","EGY","GBL","1995-12-06","Female"
"69","AHMED Mohamed","EGY","PWL","1982-01-08","Male"
"70","AHMED Rehab","EGY","PWL","1991-03-02","Female"
"71","AI Xinliang","CHN","ARC","1997-05-19","Male"
"72","AINGCHAIYAPHUM Phuchit","THA","SWM","2001-08-31","Male"
"73","AIT AL HAKEM Abdellali","MAR","FB5","1993-11-15","Male"
"74","AIT BAJJA Elhabib","MAR","FB5","1998-02-25","Male"
"75","AITCHISON Danielle","NZL","ATH","2001-08-16","Female"
"76","AJEET SINGH","IND","ATH","1993-09-05","Male"
"77","AKAI Daiki","JPN","ATH","1999-03-12","Male"
"78","AKAISHI Ryuga","JPN","WBK","2000-09-11","Male"
"79","AKAKURA Sachie","JPN","VBS","1974-04-30","Female"
"80","AKASH","IND","SHO","1990-07-12","Male"
"81","AKBAR Komet","INA","TTE","1986-01-10","Male"
"82","AKBULUT Oguz","TUR","ATH","1992-05-06","Male"
"83","AKERMACH Rajae","MAR","TKW","1997-07-15","Female"
"84","AKHMATKHONOVA Dilafruzkhon","UZB","ATH","1990-06-23","Female"
"85","AKITA Kei","JPN","WBK","1990-02-22","Male"
"86","AKKAYA Hakan","TUR","WFE","1995-03-07","Male"
"87","AKSOY Ridvan","TUR","WBK","2000-02-02","Male"
"88","AKSOY Vedat","TUR","ARC","1988-03-20","Male"
"89","AL HARRASI Taha","OMA","ATH","1993-10-10","Male"
"90","AL HUSSEIN Ibrahim","RPT","SWM","1988-09-23","Male"
"91","AL KHALIFA Anas","RPT","CSP","1993-04-06","Male"
"92","AL MASHAYKHI Mohammed","OMA","ATH","1991-03-07","Male"
"93","AL-AGEELI Faris","IRQ","PWL","1974-05-20","Male"
"94","AL-DARRAJI Ali","IRQ","PWL","1981-10-11","Male"
"95","AL-MADHKHOORI Zainulabdeen","IRQ","WFE","1991-07-04","Male"
"96","AL-MAJIDI Hanan","IRQ","PWL","1990-12-17","Female"
"97","AL-OGAILI Hayder","IRQ","WFE","1994-04-01","Male"
"98","AL-RIKABI Ali","IRQ","ATH","1993-04-23","Male"
"99","AL-SAEDI Zaman","IRQ","ARC","1983-04-03","Female"
"100","ALAMAR GARCIA Sergio","ESP","FB5","2000-10-20","Male"
"101","ALARYANI Abdulla Saif","UAE","SHO","1975-12-08","Male"
"102","ALARYANI Abdulla Sultan","UAE","SHO","1970-08-12","Male"
"103","ALBERTSDOTTIR Arna","ISL","CRD","1990-06-08","Female"
"104","ALBRECHT Dominik","GER","VBS","1987-04-12","Male"
"105","ALBRECHT Jens Eicke","GER","WBK","1991-06-02","Male"
"106","ALBURY Simon","AUS","ROW","1982-05-09","Male"
"107","ALCALDE RODRIGUEZ Roberto","BRA","SWM","1992-01-14","Male"
"108","ALCAZAR FIGUEROA Matilde Estefania","MEX","SWM","1995-09-03","Female"
"109","ALCOBA MEMBRILLA Maria Montserrat","ESP","PWL","1981-06-23","Female"
"110","ALCOTT Dylan","AUS","WTE","1990-12-04","Male"
"111","ALDAYYENI Najlah","IRQ","TTE","2004-12-01","Female"
"112","ALEJOS ALONSO Agustin","ESP","WBK","1987-11-08","Male"
"113","ALENCON Katell","FRA","CRD","1986-10-09","Female"
"114","ALEXANDER Natalie","AUS","WBK","1991-04-06","Female"
"115","ALGANAIDL Fahad","KSA","ATH","1984-09-23","Male"
"116","ALHAJAJ Tharwh Tayseer Hamdan","JOR","PWL","1973-01-01","Female"
"117","ALHAMMADI Mohamed","UAE","ATH","1985-07-13","Male"
"118","ALHASAN Fatema","SYR","PWL","1977-10-10","Female"
"119","ALI Amany","EGY","PWL","1976-03-02","Female"
"120","ALI Ammar","IRQ","WFE","1985-04-28","Male"
"121","ALI Haider","PAK","ATH","1984-12-12","Male"
"122","ALI Huda","IRQ","PWL","1977-03-03","Female"
"123","ALI POUR Meisam","IRI","VBS","1989-06-13","Male"
"124","ALIBASIC Safet","BIH","VBS","1982-12-21","Male"
"125","ALIBOEVA Vasila","UZB","JUD","1995-03-22","Female"
"126","ALIEKSEIENKO Oleksandr","ISR","ATH","1983-11-16","Male"
"127","ALIEVA Maliak","RPC","TTE","1995-03-08","Female"
"128","ALIM Nur Syahidah","SGP","ARC","1985-08-12","Female"
"129","ALINAJIMI Vahid","IRI","ATH","1996-04-15","Male"
"130","ALIPOURIAN Davoud","IRI","VBS","1985-05-06","Male"
"131","ALIYEV Kamil","AZE","ATH","1991-10-15","Male"
"132","ALJNEIBI Sara","UAE","ATH","1992-11-06","Female"
"133","ALJUMAAH Sarah","KSA","ATH","1979-07-14","Female"
"134","ALJUNEIDI Mutaz Zakaria Daoud","JOR","PWL","1976-04-02","Male"
"135","ALKAN Huseyin","TUR","GBL","1988-04-01","Male"
"136","ALKEMADE Kimberly","NED","ATH","1990-03-29","Female"
"137","ALKTEBI Noura","UAE","ATH","1992-12-03","Female"
"138","ALLAN Gordon","AUS","CTR","1998-04-03","Male"
"139","ALLARD Danik","CAN","BOC","2000-12-10","Male"
"140","ALLEN Grant","AUS","CRD","1980-07-24","Male"
"141","ALMANSOORI Ahmad Mubarak","UAE","CRD","1981-08-08","Male"
"142","ALMEHAIRI Ayesha","UAE","SHO","1976-08-24","Female"
"143","ALMEIDA RAMOS Aser Mateus","BRA","ATH","1991-06-23","Male"
"144","ALMLIE Jazmin","USA","SHO","1981-12-22","Female"
"145","ALMONACID HEYL Vicente Enrique","CHI","SWM","2000-10-28","Male"
"146","ALMUTAIRI Ahmad","KUW","ATH","1994-05-13","Male"
"147","ALMYRISL Maryam","KSA","TTE","1982-02-08","Female"
"148","ALNAKHLI Ali","KSA","ATH","2000-05-01","Male"
"149","ALNUAIMI Saif","UAE","SHO","1978-03-27","Male"
"150","ALOMARI Rooba","BRN","ATH","1991-01-23","Female"
"151","ALONSO MORALES Michelle","ESP","SWM","1994-03-29","Female"
"152","ALONSO VILARINO Maria","ESP","WBK","1982-07-07","Female"
"153","ALPHONSE Marie Emmanuelle Anais","MRI","ATH","1995-11-23","Female"
"154","ALQURASHI Adbulrahman","KSA","ATH","1997-12-25","Male"
"155","ALRAOAD Naseb Fateh Mohammed","YEM","ATH","1988-05-20","Male"
"156","ALTIN Fatma Damla","TUR","ATH","2002-10-18","Female"
"157","ALTINTAS Nergiz","TUR","TTE","1990-08-16","Female"
"158","ALTUNOLUK Sevda","TUR","GBL","1994-04-01","Female"
"159","ALTUNOLUK Sevtap","TUR","GBL","1995-01-10","Female"
"160","ALVES Ricardo","BRA","FB5","1988-12-15","Male"
"161","ALVES ROCA Heriberto","BRA","ARC","1980-04-21","Male"
"162","ALZATE Guillermo","COL","WBK","1983-05-29","Male"
"163","ALZEYOUDI Maryam","UAE","ATH","1995-08-02","Female"
"164","ALZEYOUDI Mozah","UAE","PWL","1992-10-18","Female"
"165","AMADU Yusif","GHA","ATH","1978-04-06","Male"
"166","AMAIMIA Fathia","TUN","ATH","1989-09-05","Female"
"167","AMANZHOL Zhanbota","KAZ","JUD","1997-06-18","Male"
"168","AMARAL SANTOS Marliane","BRA","TTE","1991-09-14","Female"
"169","AMCHI Mohamed Nadjib","ALG","ATH","1991-08-03","Male"
"170","AMER Ahmed","EGY","VBS","1985-03-01","Male"
"171","AMGUOUN Mohamed","MAR","ATH","1988-11-08","Male"
"172","AMIMOTO Mari","JPN","WBK","1988-11-15","Female"
"173","AMIRI Hamed","IRI","ATH","1982-06-06","Male"
"174","AMNIR Wassime","BEL","GBL","1991-02-01","Male"
"175","AMODEO Alberto","ITA","SWM","2000-12-07","Male"
"176","AMORIM MUNIZ de OLIVEIRA Caio","BRA","SWM","1993-02-17","Male"
"177","AMORIM Victoria","BRA","GBL","1997-11-29","Female"
"178","AMOUDI Saida","MAR","ATH","1980-01-01","Female"
"179","ANDALOUSSI Ahmed","FRA","TRI","1972-06-08","Male"
"180","ANDERSON Corey","AUS","ATH","2000-05-25","Male"
"181","ANDERSON Patrick","CAN","WBK","1979-08-22","Male"
"182","ANDERSON Shaun","RSA","ARC","1973-01-30","Male"
"183","ANDERSSON Emil","SWE","TTE","1993-04-29","Male"
"184","ANDRADE Avelino","POR","BOC","1980-10-04","Male"
"185","ANDRADE de FREITAS David","BRA","TTE","1978-03-23","Male"
"186","ANDRADE GUILLEN Luis Armando","MEX","SWM","1995-03-10","Male"
"187","ANDRE Fabienne","GBR","ATH","1996-09-20","Female"
"188","ANDREEVA Nadezda","RPC","CSP","1978-11-01","Female"
"189","ANDREJCIK Samuel","SVK","BOC","1996-09-10","Male"
"190","ANDRES BARRIO Sara","ESP","ATH","1986-08-21","Female"
"191","ANDRIEVSKAIA Tatiana","RPC","ARC","1978-08-15","Female"
"192","ANGELINE Anais Anne Lise","MRI","ATH","1999-04-18","Female"
"193","ANILA IZZAT BAIG Anila","PAK","ATH","1991-04-15","Female"
"194","ANJOS Alex","STP","ATH","1990-11-12","Male"
"195","ANKER Carlos","NED","WTE","1996-05-21","Male"
"196","ANO Adou Herve","CIV","PWL","1983-05-30","Male"
"197","ANOBILE Fabio","ITA","CRD","1993-12-16","Male"
"198","ANON Somkhoun","THA","PWL","1977-10-14","Female"
"199","ANTOSOVA Katerina","CZE","CRD","1965-02-02","Female"
"200","AOKI Charles","USA","WRU","1991-03-07","Male"
"201","APARECIDA de LIMA Moniza","BRA","GBL","1998-04-16","Female"
"202","APINIS Aigars","LAT","ATH","1973-06-09","Male"
"203","APPLEGATE Jessica-Jane","GBR","SWM","1996-08-22","Female"
"204","AQUINO Jonatan","ARG","BOC","1989-03-19","Male"
"205","AR Ismail","TUR","WBK","1985-11-28","Male"
"206","ARAI Daisuke","JPN","WTE","1988-05-14","Male"
"207","ARANTES Samuel Henrique","BRA","VBS","1987-01-28","Male"
"208","ARAUJO Lucia","BRA","JUD","1981-06-17","Female"
"209","ARAUJO Wilians","BRA","JUD","1991-10-18","Male"
"210","ARAVICH Danielle","USA","ATH","1996-05-08","Female"
"211","ARBATSKAIA Olga","RPC","VBS","1997-04-01","Female"
"212","ARCE PAYNO Marta","ESP","JUD","1977-07-27","Female"
"213","AREKHI Nourmohammad","IRI","ATH","1984-01-05","Male"
"214","ARENDSE Britney","IRL","PWL","1999-12-17","Female"
"215","ARESTI Andonis","CYP","ATH","1983-02-15","Male"
"216","ARESTOVA Irina","RPC","GBL","1995-09-14","Female"
"217","AREZKI Hakim","FRA","FB5","1983-03-20","Male"
"218","ARINGHIERI Giulia","ITA","VBS","1987-05-31","Female"
"219","ARIPIN Jaenal","INA","ATH","1988-02-29","Male"
"220","ARIYASU Ryohei","JPN","ROW","1987-02-02","Male"
"221","ARLOY Zsofia","HUN","TTE","1981-09-05","Female"
"222","ARMENDARIZ ZUBILLAGA Estibalit","ESP","ROW","1974-06-24","Female"
"223","ARNOLD Hollie","GBR","ATH","1994-06-26","Female"
"224","ARSAE Masaberee","THA","ATH","1998-10-11","Male"
"225","ARTAKHINOVA Stepanida","RPC","ARC","1989-09-13","Female"
"226","ARTIUKHOV Oleksandr","UKR","SWM","2003-04-30","Male"
"227","ARTS Ilse","NED","WBK","1990-06-07","Female"
"228","ARUNA","IND","TKW","2000-01-10","Female"
"229","ARVIND","IND","ATH","1993-06-14","Male"
"230","ASANO Takashi","JPN","TTE","2001-08-17","Male"
"231","ASAYUT Dararat","THA","TTE","1984-06-18","Female"
"232","ASGARI Farzaneh","IRI","ARC","1986-08-12","Female"
"233","ASIIMWE Ritah","UGA","BDM","1986-07-10","Female"
"234","ASLAKSON Josie","USA","WBK","1995-09-14","Female"
"235","ASLANOV Islam","UZB","SWM","1993-10-16","Male"
"236","ASLANOV Orkhan","AZE","ATH","1995-03-24","Male"
"237","ASLANOV Shamo","AZE","PWL","1983-03-23","Male"
"238","ASPDEN Hannah","USA","SWM","2000-06-11","Female"
"239","ASSOR Frederick","GHA","CTR","1984-12-30","Male"
"240","ASSOUMANI Arnaud","FRA","ATH","1985-09-04","Male"
"241","ASTAN Adyos","INA","TTE","1968-01-01","Male"
"242","ASTANOV Elvin","AZE","ATH","1979-07-05","Male"
"243","ASTASHOV Mikhail","RPC","CRD","1988-10-16","Male"
"244","ASTASHOV Mikhail","RPC","CTR","1988-10-16","Male"
"245","ATAEV Zainutdin","RPC","TKW","1991-10-26","Male"
"246","ATAMANENKO Serhiy","UKR","ARC","1979-10-22","Male"
"247","ATAMANUK Emilio Ariel","ARG","CSP","1983-12-24","Male"
"248","ATANGANA Guillaume Junior","CMR","ATH","1999-01-22","Male"
"249","ATCHIBA Fayssal","BEN","ATH","1992-01-01","Male"
"250","ATHMANI Skander Djamil","ALG","ATH","1992-06-21","Male"
"251","ATTIA Mahmoud","EGY","PWL","1981-08-12","Male"
"252","AUCLAIR David","FRA","SHO","1970-06-06","Male"
"253","AULIA Putri","INA","ATH","1994-07-23","Female"
"254","AULT-CONNELL Eliza","AUS","ATH","1981-09-19","Female"
"255","AUNGAPHINAN Anon","THA","ARC","1988-10-25","Male"
"256","AUNGLES Jesse","AUS","SWM","1995-06-08","Male"
"257","AUPRINCE Michael","AUS","WBK","1993-02-21","Male"
"258","AUSTIN Evan","USA","SWM","1992-09-10","Male"
"259","AVE Lindy","GER","ATH","1998-07-09","Female"
"260","AVILA SANCHEZ Eduardo Adrian","MEX","JUD","1985-12-20","Male"
"261","AWANE Najwa","MAR","WTE","1998-04-18","Female"
"262","AXELSSON Patrekur","ISL","ATH","1994-01-12","Male"
"263","AYACHE Bilel","ALG","WBK","1981-06-02","Male"
"264","AYANBEKU Femita","USA","ATH","1992-06-30","Female"
"265","AYASHI Faleh","IRI","WBK","1987-09-23","Male"
"266","AYBAR DIAZ Lourdes Alejandra","DOM","SWM","1988-09-20","Female"
"267","AYDOGDU Abdullah","TUR","GBL","1991-09-27","Male"
"268","AYERS Nikki","AUS","ROW","1991-03-03","Female"
"269","AZEVEDO Adriana","BRA","CSP","1978-04-06","Female"
"270","AZIZIAGHDAM Asghar","IRI","TKW","1987-12-26","Male"
"271","AZZAM Husam F A","PLE","ATH","1975-12-07","Male"
"272","BAARS Lara","NED","ATH","1996-12-23","Female"
"273","BABADI Mahdi","IRI","VBS","1991-03-25","Male"
"274","BABAJANOV Nurlan","AZE","PWL","1992-04-11","Male"
"275","BABSKA Emilia","POL","SHO","2000-04-23","Female"
"276","BABU Sidhartha","IND","SHO","1979-05-21","Male"
"277","BABYNETS Yurii","UKR","PWL","1995-07-17","Male"
"278","BACHMAIER Ernst","AUT","CRD","1970-04-21","Male"
"279","BADACHE Hakim","ALG","WBK","1986-08-03","Male"
"280","BADDOUR Noura","SYR","PWL","1984-11-13","Female"
"281","BADRANE Ayoub","ALG","WBK","1994-03-20","Male"
"282","BAEK Youngbok","KOR","TTE","1977-07-16","Male"
"283","BAEZ Nadia","ARG","SWM","1989-06-26","Female"
"284","BAGHRADJI Oussama","ALG","WBK","1996-11-05","Male"
"285","BAGLAR Zehra","TUR","BDM","1992-05-15","Female"
"286","BAGZADEHFARD Iman","IRI","WBK","1987-02-11","Male"
"287","BAHLAZ Lahouari","ALG","ATH","1979-03-12","Male"
"288","BAI Xiaohong","CHN","SHO","1986-08-25","Female"
"289","BAIBATINA Zarina","KAZ","JUD","1984-05-11","Female"
"290","BAICHIK Aleksandr","RPC","VBS","1982-04-15","Male"
"291","BAILEY Dermot","GBR","WTE","1994-02-18","Male"
"292","BAILEY Issy","GBR","SHO","1994-04-19","Female"
"293","BAILEY Luke","AUS","ATH","1997-09-17","Male"
"294","BAILEY Susan","GBR","TTE","1972-10-19","Female"
"295","BAISARINA Olesia","RPC","ATH","1988-06-28","Female"
"296","BAKA Abdellatif","ALG","ATH","1994-05-07","Male"
"297","BAKER Elizabeth","USA","TRI","1974-03-19","Female"
"298","BAKER Natasha","GBR","EQU","1989-12-30","Female"
"299","BAKIC Luka","MNE","TTE","1991-06-06","Male"
"300","BAKOCHRISTOS Dimitrios","GRE","PWL","1983-04-16","Male"
"301","BALCOVA Michaela","SVK","BOC","1995-05-30","Female"
"302","BALDE Alhassane","GER","ATH","1985-12-21","Male"
"303","BALDERA Melissa","PER","ATH","1995-09-20","Female"
"304","BALDOCK Brieann","CAN","GBL","1995-12-14","Female"
"305","BALL James","GBR","CTR","1991-06-24","Male"
"306","BALLARD Angela","AUS","ATH","1982-06-06","Female"
"307","BALLESTRINO Jake","AUS","TTE","1991-07-27","Male"
"308","BANDA Taonele","MAW","ATH","1996-06-05","Female"
"309","BANDEIRA Gabriel","BRA","SWM","1999-10-29","Male"
"310","BANG Yu-Jeong","SWE","SHO","1979-02-12","Female"
"311","BANGMA Tristan","NED","CRD","1997-10-06","Male"
"312","BANGMA Tristan","NED","CTR","1997-10-06","Male"
