"cod_equipa","nome_equipa","cod_pais","cod_desporto","evento"
"1","Australia","AUS","ARC","Mixed Team Recurve - Open"
"2","Brazil","BRA","ARC","Mixed Team - W1"
"3","Brazil","BRA","ARC","Mixed Team Compound - Open"
"4","Brazil","BRA","ARC","Mixed Team Recurve - Open"
"5","China","CHN","ARC","Mixed Team - W1"
"6","China","CHN","ARC","Mixed Team Compound - Open"
"7","China","CHN","ARC","Mixed Team Recurve - Open"
"8","Czech Republic","CZE","ARC","Mixed Team - W1"
"9","France","FRA","ARC","Mixed Team Compound - Open"
"10","Great Britain","GBR","ARC","Mixed Team Compound - Open"
"11","Great Britain","GBR","ARC","Mixed Team Recurve - Open"
"12","India","IND","ARC","Mixed Team Compound - Open"
"13","Islamic Rep. of Iran","IRI","ARC","Mixed Team Compound - Open"
"14","Islamic Rep. of Iran","IRI","ARC","Mixed Team Recurve - Open"
"15","Italy","ITA","ARC","Mixed Team Compound - Open"
"16","Italy","ITA","ARC","Mixed Team Recurve - Open"
"17","Japan","JPN","ARC","Mixed Team - W1"
"18","Japan","JPN","ARC","Mixed Team Compound - Open"
"19","Japan","JPN","ARC","Mixed Team Recurve - Open"
"20","Mongolia","MGL","ARC","Mixed Team Recurve - Open"
"21","Poland","POL","ARC","Mixed Team Recurve - Open"
"22","Republic of Korea","KOR","ARC","Mixed Team - W1"
"23","Republic of Korea","KOR","ARC","Mixed Team Recurve - Open"
"24","RPC","RPC","ARC","Mixed Team - W1"
"25","RPC","RPC","ARC","Mixed Team Compound - Open"
"26","RPC","RPC","ARC","Mixed Team Recurve - Open"
"27","Thailand","THA","ARC","Mixed Team Compound - Open"
"28","Thailand","THA","ARC","Mixed Team Recurve - Open"
"29","Turkey","TUR","ARC","Mixed Team - W1"
"30","Turkey","TUR","ARC","Mixed Team Compound - Open"
"31","Turkey","TUR","ARC","Mixed Team Recurve - Open"
"32","United States","USA","ARC","Mixed Team Recurve - Open"
"33","Brazil","BRA","ATH","4x100m Universal Relay"
"34","Canada","CAN","ATH","4x100m Universal Relay"
"35","People's Republic of China","CHN","ATH","4x100m Universal Relay"
"36","France","FRA","ATH","4x100m Universal Relay"
"37","Germany","GER","ATH","4x100m Universal Relay"
"38","Great Britain","GBR","ATH","4x100m Universal Relay"
"39","Indonesia","INA","ATH","4x100m Universal Relay"
"40","Japan","JPN","ATH","4x100m Universal Relay"
"41","RPC","RPC","ATH","4x100m Universal Relay"
"42","United States of America","USA","ATH","4x100m Universal Relay"
"43","Argentina","ARG","BOC","Team - BC1/BC2"
"44","Australia","AUS","BOC","Pairs - BC3"
"45","Brazil","BRA","BOC","Pairs - BC3"
"46","Brazil","BRA","BOC","Pairs - BC4"
"47","Brazil","BRA","BOC","Team - BC1/BC2"
"48","Canada","CAN","BOC","Pairs - BC4"
"49","China","CHN","BOC","Team - BC1/BC2"
