"cod_pais","cod_atleta","cod_desporto","evento","tipo_medalha"
"CZE","1042","ARC","Men's Individual - W1","Gold Medal"
"CHN","1587","ARC","Men's Individual Compound - Open","Gold Medal"
"USA","2510","ARC","Men's Individual Recurve - Open","Gold Medal"
"CHN","700","ARC","Women's Individual - W1","Gold Medal"
"GBR","3049","ARC","Women's Individual Compound - Open","Gold Medal"
"IRI","2823","ARC","Women's Individual Recurve - Open","Gold Medal"
"CHN","700","ARC","Mixed Team - W1","Gold Medal"
"CHN","4458","ARC","Mixed Team - W1","Gold Medal"
"CHN","1587","ARC","Mixed Team Compound - Open","Gold Medal"
"CHN","2314","ARC","Mixed Team Compound - Open","Gold Medal"
"RPC","3661","ARC","Mixed Team Recurve - Open","Gold Medal"
"RPC","3704","ARC","Mixed Team Recurve - Open","Gold Medal"
"GRE","1374","ATH","Men's 100m - T11","Gold Medal"
"NOR","1919","ATH","Men's 100m - T12","Gold Medal"
"IRL","3718","ATH","Men's 100m - T13","Gold Medal"
"GBR","3699","ATH","Men's 100m - T33","Gold Medal"
"TUN","2120","ATH","Men's 100m - T34","Gold Medal"
"RPC","3437","ATH","Men's 100m - T35","Gold Medal"
"CHN","963","ATH","Men's 100m - T36","Gold Medal"
"USA","2529","ATH","Men's 100m - T37","Gold Medal"
"GBR","4407","ATH","Men's 100m - T38","Gold Medal"
"BRA","1214","ATH","Men's 100m - T47","Gold Medal"
"BEL","1363","ATH","Men's 100m - T51","Gold Medal"
"USA","2481","ATH","Men's 100m - T52","Gold Medal"
"THA","3003","ATH","Men's 100m - T53","Gold Medal"
"THA","3002","ATH","Men's 100m - T54","Gold Medal"
"RPC","3217","ATH","Men's 100m - T63","Gold Medal"
"GER","3799","ATH","Men's 100m - T64","Gold Medal"
"BRA","1771","ATH","Men's 1500m - T11","Gold Medal"
"RPC","2133","ATH","Men's 1500m - T13","Gold Medal"
"GBR","2629","ATH","Men's 1500m - T20","Gold Medal"
"CAN","3315","ATH","Men's 1500m - T38","Gold Medal"
"RPC","1708","ATH","Men's 1500m - T46","Gold Medal"
"JPN","3510","ATH","Men's 1500m - T52","Gold Medal"
"SUI","1693","ATH","Men's 1500m - T54","Gold Medal"
"RPC","3437","ATH","Men's 200m - T35","Gold Medal"
"USA","2529","ATH","Men's 200m - T37","Gold Medal"
"FIN","3149","ATH","Men's 200m - T51","Gold Medal"
"RSA","2403","ATH","Men's 200m - T61","Gold Medal"
"CRC","1499","ATH","Men's 200m - T64","Gold Medal"
"ESP","973","ATH","Men's 400m - T11","Gold Medal"
"MAR","1628","ATH","Men's 400m - T12","Gold Medal"
"ALG","250","ATH","Men's 400m - T13","Gold Medal"
"FRA","2089","ATH","Men's 400m - T20","Gold Medal"
"AUS","4066","ATH","Men's 400m - T36","Gold Medal"
"RPC","4157","ATH","Men's 400m - T37","Gold Medal"
"MEX","710","ATH","Men's 400m - T38","Gold Medal"
"MAR","3429","ATH","Men's 400m - T47","Gold Medal"
"JPN","3510","ATH","Men's 400m - T52","Gold Medal"
"THA","3003","ATH","Men's 400m - T53","Gold Medal"
"USA","3371","ATH","Men's 400m - T54","Gold Medal"
"GER","1234","ATH","Men's 400m - T62","Gold Medal"
"BRA","1771","ATH","Men's 5000m - T11","Gold Medal"
"ESP","2985","ATH","Men's 5000m - T13","Gold Medal"
"SUI","1693","ATH","Men's 5000m - T54","Gold Medal"
"TUN","2120","ATH","Men's 800m - T34","Gold Medal"
"THA","3003","ATH","Men's 800m - T53","Gold Medal"
"SUI","1693","ATH","Men's 800m - T54","Gold Medal"
"CHN","2330","ATH","Men's Club Throw - F32","Gold Medal"
"RPC","3864","ATH","Men's Club Throw - F51","Gold Medal"
"BRA","848","ATH","Men's Discus Throw - F11","Gold Medal"
"PAK","121","ATH","Men's Discus Throw - F37","Gold Medal"
"POL","2077","ATH","Men's Discus Throw - F52","Gold Medal"
"BRA","348","ATH","Men's Discus Throw - F56","Gold Medal"
"USA","602","ATH","Men's Discus Throw - F64","Gold Medal"
"USA","4018","ATH","Men's High Jump - T47","Gold Medal"
"USA","1467","ATH","Men's High Jump - T63","Gold Medal"
